Turn;CardColor;CardType
33;WILD;DRAW1
34;BLUE;SIX
35;WILD;DRAW1
36;WILD;DRAW1
37;GREEN;ONE
38;WILD;DRAW1
39;WILD;DRAW1
40;WILD;DRAW1
41;WILD;DRAW1
42;WILD;DRAW1
43;BLUE;FOUR
43;YELLOW;FOUR
43;YELLOW;FOUR
44;YELLOW;ZERO
45;RED;FIVE
45;YELLOW;FIVE
45;ENDOFGAME;27
1;RED;SKIP
2;BLUE;SIX
2;GREEN;SIX
2;YELLOW;SIX
3;WILD;DRAW1
4;BLUE;EIGHT
5;BLUE;REVERSE
5;RED;REVERSE
5;YELLOW;REVERSE
6;RED;ZERO
7;GREEN;EIGHT
7;YELLOW;EIGHT
8;RED;NINE
8;ENDOFGAME;28
1;YELLOW;DRAW2
2;YELLOW;FOUR
3;GREEN;SEVEN
4;RED;TWO
4;YELLOW;TWO
5;WILD;DRAW1
6;WILD;DRAW1
7;WILD;DRAW1
8;BLUE;ZERO
9;GREEN;FOUR
10;RED;ONE
11;WILD;DRAW1
12;RED;SKIP
13;WILD;DRAW1
14;WILD;DRAW1
15;GREEN;ONE
16;GREEN;SIX
17;RED;EIGHT
18;WILD;DRAW1
19;GREEN;REVERSE
20;WILD;DRAW1
21;WILD;DRAW1
22;YELLOW;THREE
23;WILD;DRAW1
24;WILD;DRAW1
25;RED;ONE
26;WILD;DRAW1
27;WILD;DRAW1
28;BLUE;EIGHT
28;BLUE;EIGHT
29;WILD;DRAW1
30;YELLOW;SKIP
31;RED;REVERSE
32;WILD;DRAW1
33;WILD;DRAW1
34;BLUE;NINE
35;WILD;DRAW1
36;WILD;DRAW1
37;GREEN;SEVEN
38;GREEN;DRAW2
39;GREEN;THREE
40;RED;SIX
41;YELLOW;FOUR
41;ENDOFGAME;29
1;GREEN;REVERSE
2;BLUE;FOUR
3;BLUE;DRAW4
4;GREEN;SEVEN
5;BLUE;EIGHT
6;WILD;DRAW1
7;WILD;DRAW1
8;WILD;DRAW1
9;YELLOW;THREE
10;GREEN;TWO
11;BLUE;SIX
11;GREEN;SIX
11;RED;SIX
12;WILD;DRAW1
13;YELLOW;DRAW4
14;YELLOW;TWO
15;WILD;DRAW1
16;GREEN;ONE
17;GREEN;REVERSE
17;YELLOW;REVERSE
18;WILD;DRAW1
19;WILD;DRAW1
20;YELLOW;SEVEN
21;WILD;DRAW1
22;RED;FIVE
23;GREEN;SELECTCOLOR
24;YELLOW;ONE
25;WILD;DRAW1
26;YELLOW;FIVE
27;WILD;DRAW1
28;WILD;DRAW1
29;RED;SEVEN
30;BLUE;DRAW2
30;BLUE;DRAW2
30;RED;DRAW2
31;RED;EIGHT
32;WILD;DRAW1
33;WILD;DRAW1
34;YELLOW;SKIP
35;WILD;DRAW1
36;WILD;DRAW1
37;YELLOW;REVERSE
38;WILD;DRAW1
39;RED;ZERO
40;RED;THREE
41;RED;TWO
42;WILD;DRAW1
43;WILD;DRAW1
44;GREEN;FOUR
45;GREEN;TWO
46;BLUE;SIX
46;YELLOW;SIX
47;RED;SEVEN
47;ENDOFGAME;30
1;BLUE;TWO
1;RED;TWO
2;WILD;DRAW1
3;GREEN;SKIP
4;BLUE;ZERO
5;BLUE;NINE
5;GREEN;NINE
6;GREEN;THREE
7;GREEN;TWO
8;BLUE;SEVEN
8;GREEN;SEVEN
9;WILD;DRAW1
10;WILD;DRAW1
11;RED;ONE
11;YELLOW;ONE
12;WILD;DRAW1
13;WILD;DRAW1
14;RED;SELECTCOLOR
15;RED;SKIP
16;BLUE;FOUR
17;RED;FIVE
17;ENDOFGAME;31
1;BLUE;REVERSE
1;BLUE;REVERSE
2;WILD;DRAW1
3;WILD;DRAW1
4;GREEN;ONE
4;GREEN;ONE
4;YELLOW;ONE
5;BLUE;THREE
5;RED;THREE
6;RED;EIGHT
7;YELLOW;SIX
8;RED;NINE
8;YELLOW;NINE
9;WILD;DRAW1
10;WILD;DRAW1
11;RED;FOUR
12;RED;ZERO
13;WILD;DRAW1
14;BLUE;EIGHT
15;WILD;DRAW1
16;YELLOW;SEVEN
17;WILD;DRAW1
18;YELLOW;SIX
19;YELLOW;SELECTCOLOR
20;YELLOW;EIGHT
21;WILD;DRAW1
22;BLUE;FIVE
22;RED;FIVE
23;RED;FOUR
23;ENDOFGAME;32
1;RED;SIX
2;RED;FIVE
3;BLUE;ONE
3;RED;ONE
4;BLUE;SEVEN
5;GREEN;EIGHT
5;RED;EIGHT
5;ENDOFGAME;33
1;RED;ONE
2;RED;SIX
3;YELLOW;SKIP
4;YELLOW;FIVE
5;RED;EIGHT
6;BLUE;DRAW4
7;BLUE;NINE
7;ENDOFGAME;34
1;BLUE;SIX
2;BLUE;FOUR
3;YELLOW;EIGHT
4;GREEN;DRAW4
5;GREEN;THREE
5;GREEN;THREE
6;RED;TWO
7;WILD;DRAW1
8;WILD;DRAW1
9;YELLOW;EIGHT
10;YELLOW;FOUR
11;BLUE;ZERO
11;GREEN;ZERO
12;GREEN;NINE
13;WILD;DRAW1
14;YELLOW;THREE
15;WILD;DRAW1
16;BLUE;TWO
17;WILD;DRAW1
18;GREEN;EIGHT
19;WILD;DRAW1
20;WILD;DRAW1
20;ENDOFGAME;35
1;BLUE;SIX
1;YELLOW;SIX
2;YELLOW;DRAW4
3;BLUE;DRAW4
4;BLUE;SKIP
5;WILD;DRAW1
6;GREEN;DRAW2
7;BLUE;DRAW4
8;BLUE;EIGHT
8;ENDOFGAME;36
1;GREEN;FIVE
1;YELLOW;FIVE
2;RED;SELECTCOLOR
3;YELLOW;DRAW2
4;BLUE;DRAW4
5;BLUE;SEVEN
6;RED;SIX
7;BLUE;ONE
8;GREEN;THREE
9;WILD;DRAW1
10;BLUE;TWO
11;WILD;DRAW1
12;WILD;DRAW1
13;WILD;DRAW1
14;WILD;DRAW1
15;BLUE;EIGHT
15;GREEN;EIGHT
16;GREEN;THREE
17;RED;SELECTCOLOR
18;BLUE;REVERSE
19;RED;SEVEN
19;ENDOFGAME;37
1;YELLOW;THREE
2;GREEN;SIX
3;BLUE;ONE
3;YELLOW;ONE
4;RED;SEVEN
5;RED;NINE
6;RED;TWO
6;ENDOFGAME;38
1;BLUE;SELECTCOLOR
2;RED;THREE
3;WILD;DRAW1
4;GREEN;FOUR
4;YELLOW;FOUR
5;WILD;DRAW1
6;GREEN;SELECTCOLOR
7;GREEN;FIVE
8;YELLOW;ONE
9;YELLOW;EIGHT
10;GREEN;DRAW2
10;ENDOFGAME;39
1;RED;DRAW2
2;RED;SELECTCOLOR
3;GREEN;SIX
3;RED;SIX
3;RED;SIX
4;YELLOW;THREE
5;WILD;DRAW1
6;WILD;DRAW1
7;GREEN;EIGHT
8;RED;SKIP
9;WILD;DRAW1
10;BLUE;NINE
11;WILD;DRAW1
12;RED;THREE
13;WILD;DRAW1
14;WILD;DRAW1
15;YELLOW;DRAW2
16;BLUE;DRAW2
17;BLUE;FOUR
17;YELLOW;FOUR
18;YELLOW;DRAW4
19;YELLOW;SKIP
20;GREEN;ONE
20;YELLOW;ONE
21;BLUE;FIVE
21;BLUE;FIVE
22;WILD;DRAW1
23;WILD;DRAW1
24;WILD;DRAW1
25;BLUE;TWO
25;BLUE;TWO
25;RED;TWO
26;RED;SEVEN
26;ENDOFGAME;40
1;BLUE;ONE
1;BLUE;ONE
1;YELLOW;ONE
2;RED;SEVEN
3;GREEN;NINE
4;GREEN;DRAW2
5;BLUE;REVERSE
6;WILD;DRAW1
7;WILD;DRAW1
8;RED;SIX
9;RED;ZERO
10;YELLOW;SKIP
11;WILD;DRAW1
12;WILD;DRAW1
13;GREEN;SELECTCOLOR
14;GREEN;REVERSE
15;GREEN;ONE
15;ENDOFGAME;41
1;BLUE;THREE
2;YELLOW;SIX
3;GREEN;TWO
3;RED;TWO
3;RED;TWO
3;YELLOW;TWO
4;WILD;DRAW1
5;YELLOW;REVERSE
6;BLUE;DRAW2
7;YELLOW;NINE
8;RED;FOUR
9;RED;SEVEN
10;WILD;DRAW1
11;WILD;DRAW1
12;GREEN;ZERO
13;GREEN;FIVE
14;GREEN;THREE
14;ENDOFGAME;42
1;BLUE;EIGHT
2;BLUE;THREE
2;GREEN;THREE
3;GREEN;FIVE
3;RED;FIVE
4;GREEN;THREE
4;RED;THREE
5;RED;ZERO
5;YELLOW;ZERO
5;ENDOFGAME;43
1;YELLOW;THREE
2;GREEN;ONE
2;RED;ONE
3;WILD;DRAW1
4;BLUE;SELECTCOLOR
5;BLUE;TWO
6;BLUE;FIVE
6;YELLOW;FIVE
7;WILD;DRAW1
8;WILD;DRAW1
9;GREEN;REVERSE
10;RED;EIGHT
11;GREEN;FOUR
11;ENDOFGAME;44
1;GREEN;EIGHT
2;GREEN;FIVE
3;BLUE;THREE
3;YELLOW;THREE
4;RED;SEVEN
5;RED;DRAW2
6;YELLOW;SELECTCOLOR
7;YELLOW;SKIP
8;WILD;DRAW1
9;BLUE;REVERSE
10;WILD;DRAW1
11;YELLOW;DRAW4
12;YELLOW;NINE
12;ENDOFGAME;45
1;GREEN;FIVE
1;YELLOW;FIVE
1;YELLOW;FIVE
2;YELLOW;THREE
2;YELLOW;THREE
3;YELLOW;DRAW2
4;GREEN;NINE
5;GREEN;FOUR
6;RED;ONE
7;RED;DRAW2
8;RED;SKIP
9;YELLOW;ONE
10;WILD;DRAW1
11;WILD;DRAW1
12;RED;REVERSE
13;WILD;DRAW1
14;RED;TWO
15;WILD;DRAW1
16;RED;SEVEN
17;GREEN;DRAW2
18;GREEN;THREE
18;ENDOFGAME;46
1;YELLOW;SKIP
2;GREEN;FIVE
2;YELLOW;FIVE
3;YELLOW;NINE
4;GREEN;SIX
5;WILD;DRAW1
6;WILD;DRAW1
7;GREEN;SEVEN
8;WILD;DRAW1
9;RED;ONE
10;YELLOW;TWO
11;BLUE;REVERSE
11;RED;REVERSE
12;WILD;DRAW1
13;WILD;DRAW1
14;WILD;DRAW1
15;WILD;DRAW1
16;WILD;DRAW1
17;BLUE;FIVE
17;RED;FIVE
17;YELLOW;FIVE
18;GREEN;DRAW4
19;GREEN;SKIP
20;GREEN;REVERSE
21;GREEN;THREE
22;YELLOW;EIGHT
23;BLUE;REVERSE
24;GREEN;DRAW4
25;GREEN;NINE
26;GREEN;FOUR
27;BLUE;SIX
28;RED;TWO
29;WILD;DRAW1
30;WILD;DRAW1
31;WILD;DRAW1
32;BLUE;DRAW2
32;RED;DRAW2
33;WILD;DRAW1
34;YELLOW;THREE
35;BLUE;TWO
35;GREEN;TWO
36;YELLOW;NINE
37;WILD;DRAW1
38;WILD;DRAW1
39;BLUE;FOUR
40;WILD;DRAW1
41;WILD;DRAW1
42;RED;TWO
42;ENDOFGAME;47
1;BLUE;SKIP
1;YELLOW;SKIP
2;GREEN;ZERO
2;YELLOW;ZERO
3;WILD;DRAW1
4;WILD;DRAW1
5;WILD;DRAW1
6;GREEN;FOUR
6;YELLOW;FOUR
7;BLUE;THREE
7;GREEN;THREE
7;RED;THREE
8;RED;NINE
8;YELLOW;NINE
9;GREEN;FIVE
9;YELLOW;FIVE
10;GREEN;DRAW2
11;GREEN;EIGHT
11;RED;EIGHT
12;GREEN;SEVEN
12;YELLOW;SEVEN
13;YELLOW;THREE
14;RED;ZERO
15;RED;SKIP
15;YELLOW;SKIP
16;YELLOW;FOUR
17;YELLOW;TWO
